scenario,head,normalized_rank,attention_mean,ci95,n_samples
id_2000_k60,4,0.11864406779661017,1.0025459797801197,0.00031856198557742536,3552
id_2000_k60,4,0.13559322033898305,1.0022926077179544,0.0003148743647900272,3552
id_2000_k60,4,0.15254237288135594,1.0020532245739355,0.00031538983528237204,3552
id_2000_k60,4,0.1694915254237288,1.001877954363957,0.00031846385618643463,3552
id_2000_k60,4,0.1864406779661017,1.0015153359655324,0.00031699609511757197,3552
id_2000_k60,4,0.2033898305084746,1.0015305054818724,0.00032482019141817067,3552
id_2000_k60,4,0.22033898305084745,1.0011358251879077,0.0003208818464374492,3552
id_2000_k60,4,0.23728813559322035,1.001515725896031,0.000320682859997057,3552
id_2000_k60,4,0.2542372881355932,1.00109415555054,0.0003228446233228358,3552
id_2000_k60,4,0.2711864406779661,1.0010756854941179,0.00032233067696211393,3552
id_2000_k60,4,0.288135593220339,1.0008361248786117,0.00031795153679889225,3552
id_2000_k60,4,0.3050847457627119,1.0009258751933638,0.00031207269423696375,3552
id_2000_k60,4,0.3220338983050847,1.000454708212265,0.0003245501330986713,3552
id_2000_k60,4,0.3389830508474576,1.00025681305576,0.00031873002072555043,3552
id_2000_k60,4,0.3559322033898305,1.000383542145829,0.00032110085955994,3552
id_2000_k60,4,0.3728813559322034,1.0000437877669528,0.0003153824693947448,3552
id_2000_k60,4,0.3898305084745763,0.9999139255063759,0.00031960933122044793,3552
